cik,entity_name,taxonomy,tag,label,description,unit,end_date,value,accession_number,fiscal_year,fiscal_period,form,filed_date,frame
0001855612,GRAB HOLDINGS LIMITED,ifrs-full,AccountingProfit,,,USD,2019-12-31,-3981000000,0001193125-22-125634,2021,FY,20-F,2022-04-28,CY2019
0001855612,GRAB HOLDINGS LIMITED,ifrs-full,AccountingProfit,,,USD,2020-12-31,-2743000000,0001193125-22-125634,2021,FY,20-F,2022-04-28,
0001855612,GRAB HOLDINGS LIMITED,ifrs-full,AccountingProfit,,,USD,2020-12-31,-2743000000,0000950170-23-014551,2022,FY,20-F,2023-04-26,CY2020
0001855612,GRAB HOLDINGS LIMITED,ifrs-full,AccountingProfit,,,USD,2021-12-31,-3552000000,0001193125-22-125634,2021,FY,20-F,2022-04-28,
0001855612,GRAB HOLDINGS LIMITED,ifrs-full,AccountingProfit,,,USD,2021-12-31,-3552000000,0000950170-23-014551,2022,FY,20-F,2023-04-26,
0001855612,GRAB HOLDINGS LIMITED,ifrs-full,AccountingProfit,,,USD,2021-12-31,-3552000000,0000950170-24-037611,2023,FY,20-F,2024-03-28,CY2021
0001855612,GRAB HOLDINGS LIMITED,ifrs-full,AccountingProfit,,,USD,2022-12-31,-1734000000,0000950170-23-014551,2022,FY,20-F,2023-04-26,
0001855612,GRAB HOLDINGS LIMITED,ifrs-full,AccountingProfit,,,USD,2022-12-31,-1734000000,0000950170-24-037611,2023,FY,20-F,2024-03-28,CY2022
0001855612,GRAB HOLDINGS LIMITED,ifrs-full,AccountingProfit,,,USD,2023-12-31,-466000000,0000950170-24-037611,2023,FY,20-F,2024-03-28,CY2023
0001855612,GRAB HOLDINGS LIMITED,ifrs-full,AcquisitionrelatedCostsRecognisedAsExpenseForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination,,,USD,2021-12-01,290000000,0001193125-22-125634,2021,FY,20-F,2022-04-28,CY2021Q4I
